Date,SPY_Price,QQQ_Price,VTI_Price,SPY_MA50,QQQ_MA50,VTI_MA50,Position_SPY,Position_QQQ,Position_VTI,Contribution,Cash,Shares_SPY,Shares_QQQ,Shares_VTI,Total_Invested,Portfolio_Value,Earnings,Daily_Return,Strategy,Portfolio_Type
2001-11-19,74.38188171386719,34.198856353759766,34.195526123046875,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14735.290713363109,-264.7092866368912,0.017025614171674697,Buy & Hold,Equal
2001-11-20,73.75865173339844,32.61941909790039,33.95133590698242,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14428.965821269678,-571.0341787303223,-0.02078852043384738,Buy & Hold,Equal
2001-11-21,73.2703857421875,32.45048904418945,33.74298095703125,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14342.644330853416,-657.3556691465838,-0.00598251402668204,Buy & Hold,Equal
2001-11-23,74.32403564453125,33.1768798828125,34.156463623046875,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14576.649848759007,-423.350151240993,0.016315367829501604,Buy & Hold,Equal
2001-11-26,74.48468017578125,33.99616241455078,34.36485290527344,,,,1,1,1,0.0,0.0,65.64310995285317,146.08530606807795,142.0268329379235,15000,14736.477064565235,-263.5229354347648,0.010964605548224426,Buy & Hold,Equal
2001-11-27,74.16343688964844,33.953914642333984,34.27040481567383,,,,1,1,1,500.0,0.0,67.8903988280257,150.99392024179875,146.8901156322219,15500,15195.80371443415,-304.1962855658494,0.03116936618273547,Buy & Hold,Equal
2001-11-28,72.82060241699219,32.72920608520508,33.5476188659668,,,,1,1,1,0.0,0.0,67.8903988280257,150.99392024179875,146.8901156322219,15500,14813.544488601114,-686.4555113988863,-0.025155578014602664,Buy & Hold,Equal
2001-11-29,73.80364990234375,33.742759704589844,34.06203842163086,,,,1,1,1,0.0,0.0,67.8903988280257,150.99392024179875,146.8901156322219,15500,15108.887556829659,-391.11244317034107,0.0199373666751943,Buy & Hold,Equal
2001-11-30,73.27678680419922,33.489356994628906,33.95133590698242,,,,1,1,1,0.0,0.0,67.8903988280257,150.99392024179875,146.8901156322219,15500,15018.595237214475,-481.40476278552524,-0.005976106399333769,Buy & Hold,Equal
2001-12-03,72.83990478515625,32.91503143310547,33.716941833496094,,,,1,1,1,0.0,0.0,67.8903988280257,150.99392024179875,146.8901156322219,15500,14867.785302113442,-632.2146978865585,-0.010041547343079271,Buy & Hold,Equal
2001-12-04,74.073486328125,34.48603439331055,34.15971755981445,,,,1,1,1,0.0,0.0,67.8903988280257,150.99392024179875,146.8901156322219,15500,15253.78491836336,-246.2150816366393,0.025962146238085015,Buy & Hold,Equal
2001-12-05,75.42911529541016,36.1921501159668,34.99971389770508,,,,1,1,1,0.0,0.0,67.8903988280257,150.99392024179875,146.8901156322219,15500,15726.819370168609,226.81937016860866,0.031010955925816264,Buy & Hold,Equal
2001-12-06,75.39057159423828,36.24285507202149,34.93459701538086,,,,1,1,1,0.0,0.0,67.8903988280257,150.99392024179875,146.8901156322219,15500,15722.293736639913,222.29373663991282,-0.0002877653403510205,Buy & Hold,Equal
